Дата,Максимальная температура,Минимальная температура,Средняя температура,Атмосферное давление,Скорость ветра,Осадки,Эффективная температура,mean_ndvi
2017-01-04,1.0,-1.0,-0.1,1006.7,2.0,0.0,-3.0,0.029765239893287027
2017-01-05,7.3,0.9,3.6,1003.1,3.0,0.0,0.2,0.029765239893287027
2017-01-06,8.7,3.8,6.2,1004.7,2.0,0.0,3.7,0.029765239893287027
2017-01-07,8.3,-1.1,2.6,999.3,2.0,0.0,-0.2,0.029765239893287027
2017-01-08,2.3,-1.4,0.7,1002.9,2.0,0.0,-2.1,0.029765239893287027
2017-01-09,3.2,0.8,1.9,1006.4,3.0,0.0,-1.5,0.029765239893287027
2017-01-10,2.7,-0.5,1.2,1014.5,1.0,0.0,-1.0,0.029765239893287027
2017-01-11,3.5,-1.0,0.8,1015.2,3.0,0.0,-2.8,0.029765239893287027
2017-01-12,7.7,-1.7,3.1,1006.6,3.0,0.0,-0.3,0.029765239893287027
2017-01-13,2.3,-3.8,-0.9,1009.5,2.0,0.0,-4.0,0.029765239893287027
2017-01-14,5.6,-3.9,1.0,1009.5,4.0,0.0,-3.3,0.029765239893287027
2017-01-15,5.8,-0.3,2.0,1007.6,3.0,0.0,-1.5,
2017-01-16,4.1,-0.8,1.7,1012.0,1.0,1.0,-0.4,
2017-01-17,3.3,1.2,2.2,1015.5,3.0,5.0,-1.1,
2017-01-18,2.3,-2.5,0.0,1018.9,5.0,0.0,-4.9,
2017-01-19,-3.1,-7.3,-4.4,1022.9,4.0,0.0,-9.2,
2017-01-20,-4.8,-7.3,-5.8,1020.5,2.0,0.0,-9.4,
2017-01-21,1.6,-6.5,-1.4,1014.1,5.0,0.0,-6.5,
2017-01-22,2.3,-4.2,-1.1,1018.6,2.0,1.0,-4.2,
2017-01-23,2.5,-5.2,-1.7,1021.5,3.0,0.0,-5.6,
2017-01-24,4.8,-6.7,-0.7,1013.3,1.0,0.0,-3.3,0.030117770914735487
